"bkz";"gkz";"name";"wber";"abg";"ung";"gueltig";"vp";"sp";"fp";"gr";"ne";"so"
109;10929;"Neustift an der Lafnitz";698;NA;NA;NA;NA;NA;NA;NA;NA;NA
109;10930;"Jabing";599;NA;NA;NA;NA;NA;NA;NA;NA;NA
109;10931;"Badersdorf";244;NA;NA;NA;NA;NA;NA;NA;NA;NA
109;10932;"Schandorf";249;NA;NA;NA;NA;NA;NA;NA;NA;NA
201;20101;"Klagenfurt am Wörthersee";73236;NA;NA;NA;NA;NA;NA;NA;NA;NA
202;20201;"Villach";44411;NA;NA;NA;NA;NA;NA;NA;NA;NA
203;20302;"Dellach";991;NA;NA;NA;NA;NA;NA;NA;NA;NA
203;20305;"Hermagor-Pressegger See";5262;NA;NA;NA;NA;NA;NA;NA;NA;NA
203;20306;"Kirchbach";2063;NA;NA;NA;NA;NA;NA;NA;NA;NA
203;20307;"Kötschach-Mauthen";2613;NA;NA;NA;NA;NA;NA;NA;NA;NA
203;20316;"St. Stefan im Gailtal";1257;NA;NA;NA;NA;NA;NA;NA;NA;NA
203;20320;"Gitschtal";945;781;16;765;192;191;285;22;49;26
203;20321;"Lesachtal";1056;NA;NA;NA;NA;NA;NA;NA;NA;NA
204;20402;"Ebenthal in Kärnten";6355;NA;NA;NA;NA;NA;NA;NA;NA;NA
204;20403;"Feistritz im Rosental";1886;NA;NA;NA;NA;NA;NA;NA;NA;NA
204;20405;"Ferlach";5515;NA;NA;NA;NA;NA;NA;NA;NA;NA
204;20409;"Grafenstein";2367;NA;NA;NA;NA;NA;NA;NA;NA;NA
204;20412;"Keutschach am See";1918;NA;NA;NA;NA;NA;NA;NA;NA;NA
204;20414;"Köttmannsdorf";2392;NA;NA;NA;NA;NA;NA;NA;NA;NA
204;20415;"Krumpendorf am Wörthersee";2717;NA;NA;NA;NA;NA;NA;NA;NA;NA
204;20416;"Ludmannsdorf";1460;1147;16;1131;233;330;344;77;87;60
204;20417;"Maria Rain";2056;NA;NA;NA;NA;NA;NA;NA;NA;NA
204;20418;"Maria Saal";3190;NA;NA;NA;NA;NA;NA;NA;NA;NA
204;20419;"Maria Wörth";1285;NA;NA;NA;NA;NA;NA;NA;NA;NA
204;20421;"Moosburg";3709;NA;NA;NA;NA;NA;NA;NA;NA;NA
204;20424;"Pörtschach am Wörther See";2273;NA;NA;NA;NA;NA;NA;NA;NA;NA
204;20425;"Poggersdorf";2651;NA;NA;NA;NA;NA;NA;NA;NA;NA
204;20428;"St. Margareten im Rosental";844;NA;NA;NA;NA;NA;NA;NA;NA;NA
204;20432;"Schiefling am Wörthersee";1986;1555;9;1546;313;329;618;64;129;93
204;20435;"Techelsberg am Wörther See";1768;NA;NA;NA;NA;NA;NA;NA;NA;NA
204;20441;"Zell";484;NA;NA;NA;NA;NA;NA;NA;NA;NA
204;20442;"Magdalensberg";2891;NA;NA;NA;NA;NA;NA;NA;NA;NA
205;20501;"Althofen";3808;NA;NA;NA;NA;NA;NA;NA;NA;NA
205;20502;"Brückl";2157;NA;NA;NA;NA;NA;NA;NA;NA;NA
205;20503;"Deutsch-Griffen";707;509;4;505;91;73;310;5;16;10
205;20504;"Eberstein";972;760;3;757;186;137;336;14;47;37
205;20505;"Friesach";4058;NA;NA;NA;NA;NA;NA;NA;NA;NA
205;20506;"Glödnitz";675;NA;NA;NA;NA;NA;NA;NA;NA;NA
205;20508;"Gurk";991;NA;NA;NA;NA;NA;NA;NA;NA;NA
205;20509;"Guttaring";1174;899;9;890;207;201;330;24;81;47
205;20511;"Hüttenberg";1092;NA;NA;NA;NA;NA;NA;NA;NA;NA
205;20512;"Kappel am Krappfeld";1579;NA;NA;NA;NA;NA;NA;NA;NA;NA
205;20513;"Klein St. Paul";1474;NA;NA;NA;NA;NA;NA;NA;NA;NA
205;20515;"Liebenfels";2716;NA;NA;NA;NA;NA;NA;NA;NA;NA
205;20518;"Metnitz";1566;1270;12;1258;350;213;551;28;74;42
205;20519;"Micheldorf";760;572;3;569;104;143;242;20;34;26
205;20520;"Mölbling";1049;833;5;828;153;133;419;19;59;45
205;20523;"St. Georgen am Längsee";2882;NA;NA;NA;NA;NA;NA;NA;NA;NA
205;20527;"Sankt Veit an der Glan";9409;NA;NA;NA;NA;NA;NA;NA;NA;NA
205;20530;"Straßburg";1627;NA;NA;NA;NA;NA;NA;NA;NA;NA
205;20531;"Weitensfeld im Gurktal";1637;NA;NA;NA;NA;NA;NA;NA;NA;NA
205;20534;"Frauenstein";2877;NA;NA;NA;NA;NA;NA;NA;NA;NA
206;20601;"Bad Kleinkirchheim";1186;NA;NA;NA;NA;NA;NA;NA;NA;NA
206;20602;"Baldramsdorf";1530;NA;NA;NA;NA;NA;NA;NA;NA;NA
206;20603;"Berg im Drautal";1019;NA;NA;NA;NA;NA;NA;NA;NA;NA
206;20604;"Dellach im Drautal";1295;979;16;963;263;204;327;40;83;46
206;20605;"Großkirchheim";1054;NA;NA;NA;NA;NA;NA;NA;NA;NA
206;20607;"Flattach";929;726;3;723;160;95;390;16;37;25
206;20608;"Gmünd in Kärnten";2128;NA;NA;NA;NA;NA;NA;NA;NA;NA
206;20609;"Greifenburg";1346;NA;NA;NA;NA;NA;NA;NA;NA;NA
206;20610;"Heiligenblut am Großglockner";781;613;6;607;256;41;214;30;38;28
206;20611;"Irschen";1581;NA;NA;NA;NA;NA;NA;NA;NA;NA
206;20613;"Kleblach-Lind";937;NA;NA;NA;NA;NA;NA;NA;NA;NA
206;20616;"Lendorf";1444;1179;17;1162;243;263;532;33;52;39
206;20618;"Mallnitz";574;483;8;475;119;149;128;18;45;16
206;20619;"Malta";1570;NA;NA;NA;NA;NA;NA;NA;NA;NA
206;20620;"Millstatt am See";2746;NA;NA;NA;NA;NA;NA;NA;NA;NA
206;20622;"Mörtschach";631;NA;NA;NA;NA;NA;NA;NA;NA;NA
206;20624;"Mühldorf";823;NA;NA;NA;NA;NA;NA;NA;NA;NA
206;20625;"Oberdrauburg";936;NA;NA;NA;NA;NA;NA;NA;NA;NA
206;20627;"Obervellach";1722;1334;16;1318;284;233;646;32;76;47
206;20630;"Radenthein";4589;NA;NA;NA;NA;NA;NA;NA;NA;NA
206;20631;"Rangersdorf";1369;1094;8;1086;204;157;627;16;50;32
206;20632;"Rennweg am Katschberg";1377;1118;19;1099;352;189;431;35;55;37
206;20633;"Sachsenburg";1003;809;6;803;144;167;420;13;37;22
206;20634;"Seeboden am Millstätter See";5264;NA;NA;NA;NA;NA;NA;NA;NA;NA
206;20635;"Spittal an der Drau";11381;NA;NA;NA;NA;NA;NA;NA;NA;NA
206;20636;"Stall";1233;NA;NA;NA;NA;NA;NA;NA;NA;NA
206;20637;"Steinfeld";1611;1231;16;1215;235;311;525;39;69;36
206;20638;"Trebesing";934;NA;NA;NA;NA;NA;NA;NA;NA;NA
206;20639;"Weißensee";602;NA;NA;NA;NA;NA;NA;NA;NA;NA
206;20640;"Winklern";989;NA;NA;NA;NA;NA;NA;NA;NA;NA
206;20642;"Krems in Kärnten";1346;NA;NA;NA;NA;NA;NA;NA;NA;NA
206;20643;"Lurnfeld";2194;NA;NA;NA;NA;NA;NA;NA;NA;NA
206;20644;"Reißeck";1734;NA;NA;NA;NA;NA;NA;NA;NA;NA
207;20701;"Afritz am See";1205;NA;NA;NA;NA;NA;NA;NA;NA;NA
207;20702;"Arnoldstein";5251;NA;NA;NA;NA;NA;NA;NA;NA;NA
207;20703;"Arriach";1081;NA;NA;NA;NA;NA;NA;NA;NA;NA
207;20705;"Bad Bleiberg";1690;NA;NA;NA;NA;NA;NA;NA;NA;NA
207;20707;"Feistritz an der Gail";512;409;6;403;133;94;125;12;23;16
207;20708;"Feld am See";844;NA;NA;NA;NA;NA;NA;NA;NA;NA
207;20710;"Ferndorf";1642;1296;20;1276;174;306;617;33;70;76
207;20711;"Finkenstein am Faaker See";7130;NA;NA;NA;NA;NA;NA;NA;NA;NA
207;20712;"Fresach";996;NA;NA;NA;NA;NA;NA;NA;NA;NA
207;20713;"Hohenthurn";630;NA;NA;NA;NA;NA;NA;NA;NA;NA
207;20719;"Nötsch im Gailtal";1846;NA;NA;NA;NA;NA;NA;NA;NA;NA
207;20720;"Paternion";4675;NA;NA;NA;NA;NA;NA;NA;NA;NA
207;20721;"Rosegg";1503;NA;NA;NA;NA;NA;NA;NA;NA;NA
207;20722;"St. Jakob im Rosental";3365;NA;NA;NA;NA;NA;NA;NA;NA;NA
207;20723;"Stockenboi";1264;NA;NA;NA;NA;NA;NA;NA;NA;NA
207;20724;"Treffen am Ossiacher See";3628;NA;NA;NA;NA;NA;NA;NA;NA;NA
207;20725;"Velden am Wörther See";7034;NA;NA;NA;NA;NA;NA;NA;NA;NA
207;20726;"Weißenstein";2395;NA;NA;NA;NA;NA;NA;NA;NA;NA
207;20727;"Wernberg";4400;NA;NA;NA;NA;NA;NA;NA;NA;NA
208;20801;"Bleiburg";2957;NA;NA;NA;NA;NA;NA;NA;NA;NA
208;20802;"Diex";626;NA;NA;NA;NA;NA;NA;NA;NA;NA
208;20803;"Eberndorf";4667;NA;NA;NA;NA;NA;NA;NA;NA;NA
208;20804;"Eisenkappel-Vellach";1732;NA;NA;NA;NA;NA;NA;NA;NA;NA
208;20805;"Feistritz ob Bleiburg";1676;NA;NA;NA;NA;NA;NA;NA;NA;NA
208;20806;"Gallizien";1461;NA;NA;NA;NA;NA;NA;NA;NA;NA
208;20807;"Globasnitz";1287;NA;NA;NA;NA;NA;NA;NA;NA;NA
208;20808;"Griffen";2725;NA;NA;NA;NA;NA;NA;NA;NA;NA
208;20810;"Neuhaus";864;NA;NA;NA;NA;NA;NA;NA;NA;NA
208;20812;"Ruden";1218;NA;NA;NA;NA;NA;NA;NA;NA;NA
208;20813;"St. Kanzian am Klopeiner See";3511;NA;NA;NA;NA;NA;NA;NA;NA;NA
208;20815;"Sittersdorf";1594;NA;NA;NA;NA;NA;NA;NA;NA;NA
208;20817;"Völkermarkt";8688;NA;NA;NA;NA;NA;NA;NA;NA;NA
209;20901;"Bad St. Leonhard im Lavanttal";3481;NA;NA;NA;NA;NA;NA;NA;NA;NA
209;20905;"Frantschach-St. Gertraud";1858;NA;NA;NA;NA;NA;NA;NA;NA;NA
209;20909;"Lavamünd";2296;NA;NA;NA;NA;NA;NA;NA;NA;NA
209;20911;"Preitenegg";742;NA;NA;NA;NA;NA;NA;NA;NA;NA
209;20912;"Reichenfels";1434;NA;NA;NA;NA;NA;NA;NA;NA;NA
209;20913;"St. Andrä";8067;NA;NA;NA;NA;NA;NA;NA;NA;NA
209;20914;"St. Georgen im Lavanttal";1591;NA;NA;NA;NA;NA;NA;NA;NA;NA
209;20918;"St. Paul im Lavanttal";2603;NA;NA;NA;NA;NA;NA;NA;NA;NA
209;20923;"Wolfsberg";19874;NA;NA;NA;NA;NA;NA;NA;NA;NA
210;21001;"Albeck";766;614;8;606;147;79;329;7;30;14
210;21002;"Feldkirchen in Kärnten";11423;NA;NA;NA;NA;NA;NA;NA;NA;NA
210;21003;"Glanegg";1467;NA;NA;NA;NA;NA;NA;NA;NA;NA
210;21004;"Gnesau";795;NA;NA;NA;NA;NA;NA;NA;NA;NA
210;21005;"Himmelberg";1851;NA;NA;NA;NA;NA;NA;NA;NA;NA
210;21006;"Ossiach";568;NA;NA;NA;NA;NA;NA;NA;NA;NA
210;21007;"Reichenau";1341;NA;NA;NA;NA;NA;NA;NA;NA;NA
210;21008;"St. Urban";1163;892;8;884;164;141;458;20;53;48
210;21009;"Steindorf am Ossiacher See";2972;NA;NA;NA;NA;NA;NA;NA;NA;NA
210;21010;"Steuerberg";1292;NA;NA;NA;NA;NA;NA;NA;NA;NA
301;30101;"Krems an der Donau";17588;NA;NA;NA;NA;NA;NA;NA;NA;NA
302;30201;"St. Pölten";40423;NA;NA;NA;NA;NA;NA;NA;NA;NA
303;30301;"Waidhofen an der Ybbs";8626;NA;NA;NA;NA;NA;NA;NA;NA;NA
304;30401;"Wiener Neustadt";32007;NA;NA;NA;NA;NA;NA;NA;NA;NA
305;30501;"Allhartsberg";1796;1557;14;1543;556;216;461;84;111;115
305;30502;"Amstetten";16936;NA;NA;NA;NA;NA;NA;NA;NA;NA
305;30503;"Ardagger";2875;NA;NA;NA;NA;NA;NA;NA;NA;NA
305;30504;"Aschbach-Markt";2924;NA;NA;NA;NA;NA;NA;NA;NA;NA
305;30506;"Behamberg";2712;NA;NA;NA;NA;NA;NA;NA;NA;NA
305;30507;"Biberbach";1877;NA;NA;NA;NA;NA;NA;NA;NA;NA
305;30508;"Ennsdorf";2397;NA;NA;NA;NA;NA;NA;NA;NA;NA
305;30509;"Ernsthofen";1878;NA;NA;NA;NA;NA;NA;NA;NA;NA
305;30510;"Ertl";1036;NA;NA;NA;NA;NA;NA;NA;NA;NA
305;30511;"Euratsfeld";2181;NA;NA;NA;NA;NA;NA;NA;NA;NA
305;30512;"Ferschnitz";1492;NA;NA;NA;NA;NA;NA;NA;NA;NA
305;30514;"Haag";4563;NA;NA;NA;NA;NA;NA;NA;NA;NA
305;30515;"Haidershofen";2977;NA;NA;NA;NA;NA;NA;NA;NA;NA
305;30516;"Hollenstein an der Ybbs";1325;1134;16;1118;381;261;298;46;76;56
305;30517;"Kematen an der Ybbs";1974;NA;NA;NA;NA;NA;NA;NA;NA;NA
305;30520;"Neuhofen an der Ybbs";2412;NA;NA;NA;NA;NA;NA;NA;NA;NA
305;30521;"Neustadtl an der Donau";1731;NA;NA;NA;NA;NA;NA;NA;NA;NA
